,Sharpness,Contrast,NIQE,BRISQUE
2.7to0.6,5.5,37.68,19.87,41.97
2.7to0.7,6.16,39.99,18.95,47.86
2.7to0.8,7.33,44.14,17.02,45.67
2.7to0.9,8.03,45.91,19.87,43.52
2.7to1.0,9.01,49.46,29.58,43.89
2.7to1.1,10.13,53.26,31.54,40.95
2.7to1.2,10.78,55.08,25.42,38.69
2.7to1.3,11.7,58.05,19.77,38.64
2.7to1.4,12.01,58.34,19.06,35.94
2.7to1.5,12.6,60.38,21.25,33.89
2.7to1.6,13.19,62.17,21.69,33.08
2.7to1.7,14.22,65.42,23.0,30.53
2.7to1.8,14.4,65.18,18.56,30.08
2.7to1.9,15.08,67.69,22.82,29.55
2.7to2.0,15.4,67.83,19.87,29.22
2.7to2.1,15.72,69.69,21.04,28.52
2.7to2.2,16.52,71.63,20.86,27.78
2.7to2.3,16.45,71.29,19.37,25.97
2.7to2.4,16.56,70.11,22.09,24.28
2.7to2.5,15.38,65.54,19.2,24.26
2.7to2.6,15.08,62.19,16.88,26.12
2.7to2.7,18.24,61.22,13.29,10.15
2.7to2.8,11.72,45.81,18.47,16.44
2.7to2.9,10.39,40.11,20.64,20.9
2.7to3.0,8.91,32.53,18.92,17.81
2.8to0.1,5.04,11.55,18.56,18.54
2.8to0.2,4.88,26.75,32.07,-0.38
2.8to0.3,4.67,29.67,16.01,1.09
2.8to0.4,4.71,34.06,12.57,11.07
2.8to0.5,5.49,36.9,10.8,24.54
2.8to0.6,6.4,40.73,18.44,33.71
2.8to0.7,6.79,40.38,13.13,34.44
2.8to0.8,8.01,44.77,14.75,46.54
2.8to0.9,8.77,46.49,13.62,48.82
2.8to1.0,9.81,50.43,13.06,49.15
2.8to1.1,11.15,54.05,13.34,47.46
2.8to1.2,11.73,55.97,16.24,46.07
2.8to1.3,12.79,60.49,15.51,43.46
2.8to1.4,13.04,59.98,15.66,41.38
2.8to1.5,13.75,61.86,14.69,37.43
2.8to1.6,14.37,63.96,14.16,35.13
2.8to1.7,15.5,67.61,15.0,36.39
2.8to1.8,15.84,68.42,15.64,32.72
2.8to1.9,16.85,70.42,14.57,30.06
2.8to2.0,17.02,71.44,15.65,31.53
2.8to2.1,17.43,72.38,15.46,32.04
2.8to2.2,18.15,76.82,19.69,25.71
2.8to2.3,18.2,76.7,17.91,25.33
2.8to2.4,18.33,75.44,18.68,28.54
2.8to2.5,17.23,71.21,24.17,29.08
2.8to2.6,17.35,68.23,17.2,31.1
2.8to2.7,15.88,59.06,16.3,28.88
2.8to2.8,18.28,61.36,13.04,9.84
2.8to2.9,12.65,42.29,16.63,22.0
2.8to3.0,10.13,33.88,20.57,19.52
2.9to0.1,5.4,10.4,43.53,16.98
2.9to0.2,5.17,28.42,19.15,10.36
2.9to0.3,5.15,31.54,17.23,7.38
2.9to0.4,5.39,36.71,14.41,8.93
